teamName,sport,year,wins,losses
San Diego Chargers,NFL,2001,5,11
Philadelphia Eagles,NFL,2001,11,5
Washington Redskins,NFL,2001,8,8
New York Giants,NFL,2001,7,9
Arizona Cardinals,NFL,2001,7,9
Dallas Cowboys,NFL,2001,5,11
Chicago Bears,NFL,2001,13,3
Green Bay Packers,NFL,2001,12,4
Tampa Bay Buccaneers,NFL,2001,9,7
Minnesota Vikings,NFL,2001,5,11
Detroit Lions,NFL,2001,2,14
St. Louis Rams,NFL,2001,14,2
San Francisco 49ers,NFL,2001,12,4
New Orleans Saints,NFL,2001,7,9
Atlanta Falcons,NFL,2001,7,9
Carolina Panthers,NFL,2001,1,15
New York Jets,NFL,2002,9,7
New England Patriots,NFL,2002,9,7
Miami Dolphins,NFL,2002,9,7
Buffalo Bills,NFL,2002,8,8
Pittsburgh Steelers,NFL,2002,10,5
Cleveland Browns,NFL,2002,9,7
Baltimore Ravens,NFL,2002,7,9
Cincinnati Bengals,NFL,2002,2,14
Tennessee Titans,NFL,2002,11,5
Indianapolis Colts,NFL,2002,10,6
Jacksonville Jaguars,NFL,2002,6,10
Houston Texans,NFL,2002,4,12
Oakland Raiders,NFL,2002,11,5
Denver Broncos,NFL,2002,9,7
San Diego Chargers,NFL,2002,8,8
Kansas City Chiefs,NFL,2002,8,8
Philadelphia Eagles,NFL,2002,12,4
New York Giants,NFL,2002,10,6
Washington Redskins,NFL,2002,7,9
Dallas Cowboys,NFL,2002,5,11
Green Bay Packers,NFL,2002,12,4
Minnesota Vikings,NFL,2002,6,10
Chicago Bears,NFL,2002,4,12
Detroit Lions,NFL,2002,3,13
Tampa Bay Buccaneers,NFL,2002,12,4
Atlanta Falcons,NFL,2002,9,6
New Orleans Saints,NFL,2002,9,7
Carolina Panthers,NFL,2002,7,9
San Francisco 49ers,NFL,2002,10,6
St. Louis Rams,NFL,2002,7,9
Seattle Seahawks,NFL,2002,7,9
Arizona Cardinals,NFL,2002,5,11
New England Patriots,NFL,2003,14,2
Miami Dolphins,NFL,2003,10,6
Buffalo Bills,NFL,2003,6,10
New York Jets,NFL,2003,6,10
Baltimore Ravens,NFL,2003,10,6
Cincinnati Bengals,NFL,2003,8,8
Pittsburgh Steelers,NFL,2003,6,10
Cleveland Browns,NFL,2003,5,11
Indianapolis Colts,NFL,2003,12,4
Tennessee Titans,NFL,2003,12,4
Jacksonville Jaguars,NFL,2003,5,11
Houston Texans,NFL,2003,5,11
Kansas City Chiefs,NFL,2003,13,3
Denver Broncos,NFL,2003,10,6
Oakland Raiders,NFL,2003,4,12
San Diego Chargers,NFL,2003,4,12
Philadelphia Eagles,NFL,2003,12,4
Dallas Cowboys,NFL,2003,10,6
Washington Redskins,NFL,2003,5,11
New York Giants,NFL,2003,4,12
Green Bay Packers,NFL,2003,10,6
Minnesota Vikings,NFL,2003,9,7
Chicago Bears,NFL,2003,7,9
Detroit Lions,NFL,2003,5,11
Carolina Panthers,NFL,2003,11,5
New Orleans Saints,NFL,2003,8,8
Tampa Bay Buccaneers,NFL,2003,7,9
Atlanta Falcons,NFL,2003,5,11
St. Louis Rams,NFL,2003,12,4
Seattle Seahawks,NFL,2003,10,6
San Francisco 49ers,NFL,2003,7,9
Arizona Cardinals,NFL,2003,4,12
New England Patriots,NFL,2004,14,2
New York Jets,NFL,2004,10,6
Buffalo Bills,NFL,2004,9,7
Miami Dolphins,NFL,2004,4,12
Pittsburgh Steelers,NFL,2004,15,1
Baltimore Ravens,NFL,2004,9,7
Cincinnati Bengals,NFL,2004,8,8
Cleveland Browns,NFL,2004,4,12
Indianapolis Colts,NFL,2004,12,4
Jacksonville Jaguars,NFL,2004,9,7
Houston Texans,NFL,2004,7,9
Tennessee Titans,NFL,2004,5,11
San Diego Chargers,NFL,2004,12,4
Denver Broncos,NFL,2004,10,6
Kansas City Chiefs,NFL,2004,7,9
Oakland Raiders,NFL,2004,5,11
Philadelphia Eagles,NFL,2004,13,3
New York Giants,NFL,2004,6,10
Dallas Cowboys,NFL,2004,6,10
Washington Redskins,NFL,2004,6,10
Green Bay Packers,NFL,2004,10,6
Minnesota Vikings,NFL,2004,8,8
Detroit Lions,NFL,2004,6,10
Chicago Bears,NFL,2004,5,11
Atlanta Falcons,NFL,2004,11,5
New Orleans Saints,NFL,2004,8,8
Carolina Panthers,NFL,2004,7,9
Tampa Bay Buccaneers,NFL,2004,5,11
Seattle Seahawks,NFL,2004,9,7
St. Louis Rams,NFL,2004,8,8
Arizona Cardinals,NFL,2004,6,10
San Francisco 49ers,NFL,2004,2,14
New England Patriots,NFL,2005,10,6
Miami Dolphins,NFL,2005,9,7
Buffalo Bills,NFL,2005,5,11
New York Jets,NFL,2005,4,12
Cincinnati Bengals,NFL,2005,11,5
Pittsburgh Steelers,NFL,2005,11,5
Baltimore Ravens,NFL,2005,6,10
Cleveland Browns,NFL,2005,6,10
Indianapolis Colts,NFL,2005,14,2
Jacksonville Jaguars,NFL,2005,12,4
Tennessee Titans,NFL,2005,4,12
Houston Texans,NFL,2005,2,14
Denver Broncos,NFL,2005,13,3
Kansas City Chiefs,NFL,2005,10,6
San Diego Chargers,NFL,2005,9,7
Oakland Raiders,NFL,2005,4,12
New York Giants,NFL,2005,11,5
Washington Redskins,NFL,2005,10,6
Dallas Cowboys,NFL,2005,9,7
Philadelphia Eagles,NFL,2005,6,10
Chicago Bears,NFL,2005,11,5
Minnesota Vikings,NFL,2005,9,7
Detroit Lions,NFL,2005,5,11
Green Bay Packers,NFL,2005,4,12
Tampa Bay Buccaneers,NFL,2005,11,5
Carolina Panthers,NFL,2005,11,5
Atlanta Falcons,NFL,2005,8,8
New Orleans Saints,NFL,2005,3,13
Seattle Seahawks,NFL,2005,13,3
St. Louis Rams,NFL,2005,6,10
Arizona Cardinals,NFL,2005,5,11
San Francisco 49ers,NFL,2005,4,12
New England Patriots,NFL,2006,12,4
New York Jets,NFL,2006,10,6
Buffalo Bills,NFL,2006,7,9
Miami Dolphins,NFL,2006,6,10
Baltimore Ravens,NFL,2006,13,3
Cincinnati Bengals,NFL,2006,8,8
Pittsburgh Steelers,NFL,2006,8,8
Cleveland Browns,NFL,2006,4,12
Indianapolis Colts,NFL,2006,12,4
Tennessee Titans,NFL,2006,8,8
Jacksonville Jaguars,NFL,2006,8,8
Houston Texans,NFL,2006,6,10
San Diego Chargers,NFL,2006,14,2
Kansas City Chiefs,NFL,2006,9,7
Denver Broncos,NFL,2006,9,7
Oakland Raiders,NFL,2006,2,14
Philadelphia Eagles,NFL,2006,10,6
Dallas Cowboys,NFL,2006,9,7
New York Giants,NFL,2006,8,8
Washington Redskins,NFL,2006,5,11
Chicago Bears,NFL,2006,13,3
Green Bay Packers,NFL,2006,8,8
Minnesota Vikings,NFL,2006,6,10
Detroit Lions,NFL,2006,3,13
New Orleans Saints,NFL,2006,10,6
Carolina Panthers,NFL,2006,8,8
Atlanta Falcons,NFL,2006,7,9
Tampa Bay Buccaneers,NFL,2006,4,12
Seattle Seahawks,NFL,2006,9,7
St. Louis Rams,NFL,2006,8,8
San Francisco 49ers,NFL,2006,7,9
Arizona Cardinals,NFL,2006,5,11
New England Patriots,NFL,2007,16,0
Buffalo Bills,NFL,2007,7,9
New York Jets,NFL,2007,4,12
Miami Dolphins,NFL,2007,1,15
Pittsburgh Steelers,NFL,2007,10,6
Cleveland Browns,NFL,2007,10,6
Cincinnati Bengals,NFL,2007,7,9
Baltimore Ravens,NFL,2007,5,11
Indianapolis Colts,NFL,2007,13,3
Jacksonville Jaguars,NFL,2007,11,5
Tennessee Titans,NFL,2007,10,6
Houston Texans,NFL,2007,8,8
San Diego Chargers,NFL,2007,11,5
Denver Broncos,NFL,2007,7,9
Kansas City Chiefs,NFL,2007,4,12
Oakland Raiders,NFL,2007,4,12
Dallas Cowboys,NFL,2007,13,3
New York Giants,NFL,2007,10,6
Washington Redskins,NFL,2007,9,7
Philadelphia Eagles,NFL,2007,8,8
Green Bay Packers,NFL,2007,13,3
Minnesota Vikings,NFL,2007,8,8
Detroit Lions,NFL,2007,7,9
Chicago Bears,NFL,2007,7,9
Tampa Bay Buccaneers,NFL,2007,9,7
Carolina Panthers,NFL,2007,7,9
New Orleans Saints,NFL,2007,7,9
Atlanta Falcons,NFL,2007,4,12
Seattle Seahawks,NFL,2007,10,6
Arizona Cardinals,NFL,2007,8,8
San Francisco 49ers,NFL,2007,5,11
St. Louis Rams,NFL,2007,3,13
Miami Dolphins,NFL,2008,11,5
New England Patriots,NFL,2008,11,5
New York Jets,NFL,2008,9,7
Buffalo Bills,NFL,2008,7,9
Pittsburgh Steelers,NFL,2008,12,4
Baltimore Ravens,NFL,2008,11,5
Cincinnati Bengals,NFL,2008,4,11
Cleveland Browns,NFL,2008,4,12
Tennessee Titans,NFL,2008,13,3
Indianapolis Colts,NFL,2008,12,4
Houston Texans,NFL,2008,8,8
Jacksonville Jaguars,NFL,2008,5,11
San Diego Chargers,NFL,2008,8,8
Denver Broncos,NFL,2008,8,8
Oakland Raiders,NFL,2008,5,11
Kansas City Chiefs,NFL,2008,2,14
New York Giants,NFL,2008,12,4
Philadelphia Eagles,NFL,2008,9,6
Dallas Cowboys,NFL,2008,9,7
Washington Redskins,NFL,2008,8,8
Minnesota Vikings,NFL,2008,10,6
Chicago Bears,NFL,2008,9,7
Green Bay Packers,NFL,2008,6,10
Detroit Lions,NFL,2008,0,16
Carolina Panthers,NFL,2008,12,4
Atlanta Falcons,NFL,2008,11,5
Tampa Bay Buccaneers,NFL,2008,9,7
New Orleans Saints,NFL,2008,8,8
Arizona Cardinals,NFL,2008,9,7
San Francisco 49ers,NFL,2008,7,9
Seattle Seahawks,NFL,2008,4,12
St. Louis Rams,NFL,2008,2,14
New England Patriots,NFL,2009,10,6
New York Jets,NFL,2009,9,7
Miami Dolphins,NFL,2009,7,9
Buffalo Bills,NFL,2009,6,10
Cincinnati Bengals,NFL,2009,10,6
Baltimore Ravens,NFL,2009,9,7
Pittsburgh Steelers,NFL,2009,9,7
Cleveland Browns,NFL,2009,5,11
Indianapolis Colts,NFL,2009,14,2
Houston Texans,NFL,2009,9,7
Tennessee Titans,NFL,2009,8,8
Jacksonville Jaguars,NFL,2009,7,9
San Diego Chargers,NFL,2009,13,3
Denver Broncos,NFL,2009,8,8
Oakland Raiders,NFL,2009,5,11
Kansas City Chiefs,NFL,2009,4,12
Dallas Cowboys,NFL,2009,11,5
Philadelphia Eagles,NFL,2009,11,5
New York Giants,NFL,2009,8,8
Washington Redskins,NFL,2009,4,12
Minnesota Vikings,NFL,2009,12,4
Green Bay Packers,NFL,2009,11,5
Chicago Bears,NFL,2009,7,9
Detroit Lions,NFL,2009,2,14
New Orleans Saints,NFL,2009,13,3
Atlanta Falcons,NFL,2009,9,7
Carolina Panthers,NFL,2009,8,8
Tampa Bay Buccaneers,NFL,2009,3,13
Arizona Cardinals,NFL,2009,10,6
San Francisco 49ers,NFL,2009,8,8
Seattle Seahawks,NFL,2009,5,11
St. Louis Rams,NFL,2009,1,15
New England Patriots,NFL,2010,14,2
New York Jets,NFL,2010,11,5
Miami Dolphins,NFL,2010,7,9
Buffalo Bills,NFL,2010,4,12
Pittsburgh Steelers,NFL,2010,12,4
Baltimore Ravens,NFL,2010,12,4
Cleveland Browns,NFL,2010,5,11
Cincinnati Bengals,NFL,2010,4,12
Indianapolis Colts,NFL,2010,10,6
Jacksonville Jaguars,NFL,2010,8,8
Houston Texans,NFL,2010,6,10
Tennessee Titans,NFL,2010,6,10
Kansas City Chiefs,NFL,2010,10,6
San Diego Chargers,NFL,2010,9,7
Oakland Raiders,NFL,2010,8,8
Denver Broncos,NFL,2010,4,12
Philadelphia Eagles,NFL,2010,10,6
New York Giants,NFL,2010,10,6
Dallas Cowboys,NFL,2010,6,10
Washington Redskins,NFL,2010,6,10
Chicago Bears,NFL,2010,11,5
Green Bay Packers,NFL,2010,10,6
Detroit Lions,NFL,2010,6,10
Minnesota Vikings,NFL,2010,6,10
Atlanta Falcons,NFL,2010,13,3
New Orleans Saints,NFL,2010,11,5
Tampa Bay Buccaneers,NFL,2010,10,6
Carolina Panthers,NFL,2010,2,14
Seattle Seahawks,NFL,2010,7,9
St. Louis Rams,NFL,2010,7,9
San Francisco 49ers,NFL,2010,6,10
Arizona Cardinals,NFL,2010,5,11
New England Patriots,NFL,2011,13,3
New York Jets,NFL,2011,8,8
Miami Dolphins,NFL,2011,6,10
Buffalo Bills,NFL,2011,6,10
Baltimore Ravens,NFL,2011,12,4
Pittsburgh Steelers,NFL,2011,12,4
Cincinnati Bengals,NFL,2011,9,7
Cleveland Browns,NFL,2011,4,12
Houston Texans,NFL,2011,10,6
Tennessee Titans,NFL,2011,9,7
Jacksonville Jaguars,NFL,2011,5,11
Indianapolis Colts,NFL,2011,2,14
Denver Broncos,NFL,2011,8,8
San Diego Chargers,NFL,2011,8,8
Oakland Raiders,NFL,2011,8,8
Kansas City Chiefs,NFL,2011,7,9
New York Giants,NFL,2011,9,7
Philadelphia Eagles,NFL,2011,8,8
Dallas Cowboys,NFL,2011,8,8
Washington Redskins,NFL,2011,5,11
Green Bay Packers,NFL,2011,15,1
Detroit Lions,NFL,2011,10,6
Chicago Bears,NFL,2011,8,8
Minnesota Vikings,NFL,2011,3,13
New Orleans Saints,NFL,2011,13,3
Atlanta Falcons,NFL,2011,10,6
Carolina Panthers,NFL,2011,6,10
Tampa Bay Buccaneers,NFL,2011,4,12
San Francisco 49ers,NFL,2011,13,3
Arizona Cardinals,NFL,2011,8,8
Seattle Seahawks,NFL,2011,7,9
St. Louis Rams,NFL,2011,2,14
New England Patriots,NFL,2012,12,4
Miami Dolphins,NFL,2012,7,9
New York Jets,NFL,2012,6,10
Buffalo Bills,NFL,2012,6,10
Baltimore Ravens,NFL,2012,10,6
Cincinnati Bengals,NFL,2012,10,6
Pittsburgh Steelers,NFL,2012,8,8
Cleveland Browns,NFL,2012,5,11
Houston Texans,NFL,2012,12,4
Indianapolis Colts,NFL,2012,11,5
Tennessee Titans,NFL,2012,6,10
Jacksonville Jaguars,NFL,2012,2,14
Denver Broncos,NFL,2012,13,3
San Diego Chargers,NFL,2012,7,9
Oakland Raiders,NFL,2012,4,12
Kansas City Chiefs,NFL,2012,2,14
Washington Redskins,NFL,2012,10,6
New York Giants,NFL,2012,9,7
Dallas Cowboys,NFL,2012,8,8
Philadelphia Eagles,NFL,2012,4,12
Green Bay Packers,NFL,2012,11,5
Minnesota Vikings,NFL,2012,10,6
Chicago Bears,NFL,2012,10,6
Detroit Lions,NFL,2012,4,12
Atlanta Falcons,NFL,2012,13,3
Carolina Panthers,NFL,2012,7,9
New Orleans Saints,NFL,2012,7,9
Tampa Bay Buccaneers,NFL,2012,7,9
San Francisco 49ers,NFL,2012,11,4
Seattle Seahawks,NFL,2012,11,5
St. Louis Rams,NFL,2012,7,8
Arizona Cardinals,NFL,2012,5,11
New England Patriots,NFL,2013,12,4
New York Jets,NFL,2013,8,8
Miami Dolphins,NFL,2013,8,8
Buffalo Bills,NFL,2013,6,10
Cincinnati Bengals,NFL,2013,11,5
Pittsburgh Steelers,NFL,2013,8,8
Baltimore Ravens,NFL,2013,8,8
Cleveland Browns,NFL,2013,4,12
Indianapolis Colts,NFL,2013,11,5
Tennessee Titans,NFL,2013,7,9
Jacksonville Jaguars,NFL,2013,4,12
Houston Texans,NFL,2013,2,14
Denver Broncos,NFL,2013,13,3
Kansas City Chiefs,NFL,2013,11,5
San Diego Chargers,NFL,2013,9,7
Oakland Raiders,NFL,2013,4,12
Philadelphia Eagles,NFL,2013,10,6
Dallas Cowboys,NFL,2013,8,8
New York Giants,NFL,2013,7,9
Washington Redskins,NFL,2013,3,13
Green Bay Packers,NFL,2013,8,7
Chicago Bears,NFL,2013,8,8
Detroit Lions,NFL,2013,7,9
Minnesota Vikings,NFL,2013,5,10
Carolina Panthers,NFL,2013,12,4
New Orleans Saints,NFL,2013,11,5
Atlanta Falcons,NFL,2013,4,12
Tampa Bay Buccaneers,NFL,2013,4,12
Seattle Seahawks,NFL,2013,13,3
San Francisco 49ers,NFL,2013,12,4
Arizona Cardinals,NFL,2013,10,6
St. Louis Rams,NFL,2013,7,9
New England Patriots,NFL,2014,12,4
Buffalo Bills,NFL,2014,9,7
Miami Dolphins,NFL,2014,8,8
New York Jets,NFL,2014,4,12
Pittsburgh Steelers,NFL,2014,11,5
Cincinnati Bengals,NFL,2014,10,5
Baltimore Ravens,NFL,2014,10,6
Cleveland Browns,NFL,2014,7,9
Indianapolis Colts,NFL,2014,11,5
Houston Texans,NFL,2014,9,7
Jacksonville Jaguars,NFL,2014,3,13
Tennessee Titans,NFL,2014,2,14
Denver Broncos,NFL,2014,12,4
Kansas City Chiefs,NFL,2014,9,7
San Diego Chargers,NFL,2014,9,7
Oakland Raiders,NFL,2014,3,13
Dallas Cowboys,NFL,2014,12,4
Philadelphia Eagles,NFL,2014,10,6
New York Giants,NFL,2014,6,10
Washington Redskins,NFL,2014,4,12
Green Bay Packers,NFL,2014,12,4
Detroit Lions,NFL,2014,11,5
Minnesota Vikings,NFL,2014,7,9
Chicago Bears,NFL,2014,5,11
Carolina Panthers,NFL,2014,7,8
New Orleans Saints,NFL,2014,7,9
Atlanta Falcons,NFL,2014,6,10
Tampa Bay Buccaneers,NFL,2014,2,14
Seattle Seahawks,NFL,2014,12,4
Arizona Cardinals,NFL,2014,11,5
San Francisco 49ers,NFL,2014,8,8
St. Louis Rams,NFL,2014,6,10
New England Patriots,NFL,2015,12,4
New York Jets,NFL,2015,10,6
Buffalo Bills,NFL,2015,8,8
Miami Dolphins,NFL,2015,6,10
Cincinnati Bengals,NFL,2015,12,4
Pittsburgh Steelers,NFL,2015,10,6
Baltimore Ravens,NFL,2015,5,11
Cleveland Browns,NFL,2015,3,13
Houston Texans,NFL,2015,9,7
Indianapolis Colts,NFL,2015,8,8
Jacksonville Jaguars,NFL,2015,5,11
Tennessee Titans,NFL,2015,3,13
Denver Broncos,NFL,2015,12,4
Kansas City Chiefs,NFL,2015,11,5
Oakland Raiders,NFL,2015,7,9
San Diego Chargers,NFL,2015,4,12
Washington Redskins,NFL,2015,9,7
Philadelphia Eagles,NFL,2015,7,9
New York Giants,NFL,2015,6,10
Dallas Cowboys,NFL,2015,4,12
Minnesota Vikings,NFL,2015,11,5
Green Bay Packers,NFL,2015,10,6
Detroit Lions,NFL,2015,7,9
Chicago Bears,NFL,2015,6,10
Carolina Panthers,NFL,2015,15,1
Atlanta Falcons,NFL,2015,8,8
New Orleans Saints,NFL,2015,7,9
Tampa Bay Buccaneers,NFL,2015,6,10
Arizona Cardinals,NFL,2015,13,3
Seattle Seahawks,NFL,2015,10,6
St. Louis Rams,NFL,2015,7,9
San Francisco 49ers,NFL,2015,5,11
New England Patriots,NFL,2016,14,2
Miami Dolphins,NFL,2016,10,6
Buffalo Bills,NFL,2016,7,9
New York Jets,NFL,2016,5,11
Pittsburgh Steelers,NFL,2016,11,5
Baltimore Ravens,NFL,2016,8,8
Cincinnati Bengals,NFL,2016,6,9
Cleveland Browns,NFL,2016,1,15
Houston Texans,NFL,2016,9,7
Tennessee Titans,NFL,2016,9,7
Indianapolis Colts,NFL,2016,8,8
Jacksonville Jaguars,NFL,2016,3,13
Kansas City Chiefs,NFL,2016,12,4
Oakland Raiders,NFL,2016,12,4
Denver Broncos,NFL,2016,9,7
San Diego Chargers,NFL,2016,5,11
Dallas Cowboys,NFL,2016,13,3
New York Giants,NFL,2016,11,5
Washington Redskins,NFL,2016,8,7
Philadelphia Eagles,NFL,2016,7,9
Green Bay Packers,NFL,2016,10,6
Detroit Lions,NFL,2016,9,7
Minnesota Vikings,NFL,2016,8,8
Chicago Bears,NFL,2016,3,13
Atlanta Falcons,NFL,2016,11,5
Tampa Bay Buccaneers,NFL,2016,9,7
New Orleans Saints,NFL,2016,7,9
Carolina Panthers,NFL,2016,6,10
Seattle Seahawks,NFL,2016,10,5
Arizona Cardinals,NFL,2016,7,8
Los Angeles Rams,NFL,2016,4,12
San Francisco 49ers,NFL,2016,2,14
New England Patriots,NFL,2017,13,3
Buffalo Bills,NFL,2017,9,7
Miami Dolphins,NFL,2017,6,10
New York Jets,NFL,2017,5,11
Pittsburgh Steelers,NFL,2017,13,3
Baltimore Ravens,NFL,2017,9,7
Cincinnati Bengals,NFL,2017,7,9
Cleveland Browns,NFL,2017,0,16
Jacksonville Jaguars,NFL,2017,10,6
Tennessee Titans,NFL,2017,9,7
Indianapolis Colts,NFL,2017,4,12
Houston Texans,NFL,2017,4,12
Kansas City Chiefs,NFL,2017,10,6
Los Angeles Chargers,NFL,2017,9,7
Oakland Raiders,NFL,2017,6,10
Denver Broncos,NFL,2017,5,11
Philadelphia Eagles,NFL,2017,13,3
Dallas Cowboys,NFL,2017,9,7
Washington Redskins,NFL,2017,7,9
New York Giants,NFL,2017,3,13
Minnesota Vikings,NFL,2017,13,3
Detroit Lions,NFL,2017,9,7
Green Bay Packers,NFL,2017,7,9
Chicago Bears,NFL,2017,5,11
New Orleans Saints,NFL,2017,11,5
Carolina Panthers,NFL,2017,11,5
Atlanta Falcons,NFL,2017,10,6
Tampa Bay Buccaneers,NFL,2017,5,11
Los Angeles Rams,NFL,2017,11,5
Seattle Seahawks,NFL,2017,9,7
Arizona Cardinals,NFL,2017,8,8
San Francisco 49ers,NFL,2017,6,10
New England Patriots,NFL,2018,11,5
Miami Dolphins,NFL,2018,7,9
Buffalo Bills,NFL,2018,6,10
New York Jets,NFL,2018,4,12
Baltimore Ravens,NFL,2018,10,6
Pittsburgh Steelers,NFL,2018,9,6
Cleveland Browns,NFL,2018,7,8
Cincinnati Bengals,NFL,2018,6,10
Houston Texans,NFL,2018,11,5
Indianapolis Colts,NFL,2018,10,6
Tennessee Titans,NFL,2018,9,7
Jacksonville Jaguars,NFL,2018,5,11
Kansas City Chiefs,NFL,2018,12,4
Los Angeles Chargers,NFL,2018,12,4
Denver Broncos,NFL,2018,6,10
Oakland Raiders,NFL,2018,4,12
Dallas Cowboys,NFL,2018,10,6
Philadelphia Eagles,NFL,2018,9,7
Washington Redskins,NFL,2018,7,9
New York Giants,NFL,2018,5,11
Chicago Bears,NFL,2018,12,4
Minnesota Vikings,NFL,2018,8,7
Green Bay Packers,NFL,2018,6,9
Detroit Lions,NFL,2018,6,10
New Orleans Saints,NFL,2018,13,3
Atlanta Falcons,NFL,2018,7,9
Carolina Panthers,NFL,2018,7,9
Tampa Bay Buccaneers,NFL,2018,5,11
Los Angeles Rams,NFL,2018,13,3
Seattle Seahawks,NFL,2018,10,6
San Francisco 49ers,NFL,2018,4,12
Arizona Cardinals,NFL,2018,3,13
New England Patriots,NFL,2019,12,4
Buffalo Bills,NFL,2019,10,6
New York Jets,NFL,2019,7,9
Miami Dolphins,NFL,2019,5,11
Baltimore Ravens,NFL,2019,14,2
Pittsburgh Steelers,NFL,2019,8,8
Cleveland Browns,NFL,2019,6,10
Cincinnati Bengals,NFL,2019,2,14
Houston Texans,NFL,2019,10,6
Tennessee Titans,NFL,2019,9,7
Indianapolis Colts,NFL,2019,7,9
Jacksonville Jaguars,NFL,2019,6,10
Kansas City Chiefs,NFL,2019,12,4
Denver Broncos,NFL,2019,7,9
Oakland Raiders,NFL,2019,7,9
Los Angeles Chargers,NFL,2019,5,11
Philadelphia Eagles,NFL,2019,9,7
Dallas Cowboys,NFL,2019,8,8
New York Giants,NFL,2019,4,12
Washington Redskins,NFL,2019,3,13
Green Bay Packers,NFL,2019,13,3
Minnesota Vikings,NFL,2019,10,6
Chicago Bears,NFL,2019,8,8
Detroit Lions,NFL,2019,3,12
New Orleans Saints,NFL,2019,13,3
Atlanta Falcons,NFL,2019,7,9
Tampa Bay Buccaneers,NFL,2019,7,9
Carolina Panthers,NFL,2019,5,11
San Francisco 49ers,NFL,2019,13,3
Seattle Seahawks,NFL,2019,11,5
Los Angeles Rams,NFL,2019,9,7
Arizona Cardinals,NFL,2019,5,10
Buffalo Bills,NFL,2020,13,3
Miami Dolphins,NFL,2020,10,6
New England Patriots,NFL,2020,7,9
New York Jets,NFL,2020,2,14
Pittsburgh Steelers,NFL,2020,12,4
Baltimore Ravens,NFL,2020,11,5
Cleveland Browns,NFL,2020,11,5
Cincinnati Bengals,NFL,2020,4,11
Tennessee Titans,NFL,2020,11,5
Indianapolis Colts,NFL,2020,11,5
Houston Texans,NFL,2020,4,12
Jacksonville Jaguars,NFL,2020,1,15
Kansas City Chiefs,NFL,2020,14,2
Las Vegas Raiders,NFL,2020,8,8
Los Angeles Chargers,NFL,2020,7,9
Denver Broncos,NFL,2020,5,11
Washington Football Team,NFL,2020,7,9
New York Giants,NFL,2020,6,10
Dallas Cowboys,NFL,2020,6,10
Philadelphia Eagles,NFL,2020,4,11
Green Bay Packers,NFL,2020,13,3
Chicago Bears,NFL,2020,8,8
Minnesota Vikings,NFL,2020,7,9
Detroit Lions,NFL,2020,5,11
New Orleans Saints,NFL,2020,12,4
Tampa Bay Buccaneers,NFL,2020,11,5
Carolina Panthers,NFL,2020,5,11
Atlanta Falcons,NFL,2020,4,12
Seattle Seahawks,NFL,2020,12,4
Los Angeles Rams,NFL,2020,10,6
Arizona Cardinals,NFL,2020,8,8
San Francisco 49ers,NFL,2020,6,10
Buffalo Bills,NFL,2021,11,6
New England Patriots,NFL,2021,10,7
Miami Dolphins,NFL,2021,9,8
New York Jets,NFL,2021,4,13
Cincinnati Bengals,NFL,2021,10,7
Pittsburgh Steelers,NFL,2021,9,7
Cleveland Browns,NFL,2021,8,9
Baltimore Ravens,NFL,2021,8,9
Tennessee Titans,NFL,2021,12,5
Indianapolis Colts,NFL,2021,9,8
Houston Texans,NFL,2021,4,13
Jacksonville Jaguars,NFL,2021,3,14
Kansas City Chiefs,NFL,2021,12,5
Las Vegas Raiders,NFL,2021,10,7
Los Angeles Chargers,NFL,2021,9,8
Denver Broncos,NFL,2021,7,10
Dallas Cowboys,NFL,2021,12,5
Philadelphia Eagles,NFL,2021,9,8
Washington Football Team,NFL,2021,7,10
New York Giants,NFL,2021,4,13
Green Bay Packers,NFL,2021,13,4
Minnesota Vikings,NFL,2021,8,9
Chicago Bears,NFL,2021,6,11
Detroit Lions,NFL,2021,3,13
Tampa Bay Buccaneers,NFL,2021,13,4
New Orleans Saints,NFL,2021,9,8
Atlanta Falcons,NFL,2021,7,10
Carolina Panthers,NFL,2021,5,12
Los Angeles Rams,NFL,2021,12,5
Arizona Cardinals,NFL,2021,11,6
San Francisco 49ers,NFL,2021,10,7
Seattle Seahawks,NFL,2021,7,10
Atlanta Thrashers,NHL,2001,23,45
Boston Bruins,NHL,2001,36,30
Buffalo Sabres,NHL,2001,46,30
Carolina Hurricanes,NHL,2001,38,32
Columbus Blue Jackets,NHL,2001,28,39
